@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 25\nSize of the tree: 40\n','Number of leaves: 32\nSize of the tree: 51\n','Number of leaves: 30\nSize of the tree: 48\n','Number of leaves: 35\nSize of the tree: 54\n','Number of leaves: 30\nSize of the tree: 50\n','Number of leaves: 28\nSize of the tree: 47\n','Number of leaves: 33\nSize of the tree: 53\n','Number of leaves: 31\nSize of the tree: 49\n','Number of leaves: 29\nSize of the tree: 48\n','Number of leaves: 29\nSize of the tree: 49\n','Number of leaves: 33\nSize of the tree: 55\n','Number of leaves: 30\nSize of the tree: 47\n','Number of leaves: 26\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 54\n','Number of leaves: 31\nSize of the tree: 52\n','Number of leaves: 28\nSize of the tree: 46\n','Number of leaves: 31\nSize of the tree: 50\n','Number of leaves: 29\nSize of the tree: 46\n','Number of leaves: 30\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 44\n','Number of leaves: 27\nSize of the tree: 45\n','Number of leaves: 36\nSize of the tree: 55\n','Number of leaves: 29\nSize of the tree: 45\n','Number of leaves: 26\nSize of the tree: 42\n','Number of leaves: 34\nSize of the tree: 56\n','Number of leaves: 28\nSize of the tree: 43\n','Number of leaves: 36\nSize of the tree: 58\n','Number of leaves: 32\nSize of the tree: 50\n','Number of leaves: 27\nSize of the tree: 44\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

audiology,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,14,8,0,63.636364,36.363636,0,0.580952,0.030022,0.146167,41.200669,76.736739,80.15177,3235.411889,-3155.260119,3.643262,147.064177,-143.420914,52.463355,2.384698,1441.897121,0,0,0,0,1,22,0,0,0,0,0,?,0.016,0,0,0,4,135406,28208,'Number of leaves: 29\nSize of the tree: 49\n',49,29,29
audiology,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,20,3,0,86.956522,13.043478,0,0.849015,0.016802,0.096042,23.207413,50.786739,80.105844,1083.582142,-1003.476298,3.482863,47.112267,-43.629404,64.345492,2.79763,1760.864382,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 48\n',48,30,30
audiology,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,20,3,0,86.956522,13.043478,0,0.848684,0.015661,0.087532,21.641126,46.309429,78.690807,10.93586,67.754947,3.421339,0.475472,2.945867,69.409654,3.017811,1896.889272,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 50\n',50,30,30
audiology,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,18,5,0,78.26087,21.73913,0,0.743304,0.019285,0.116983,26.648545,61.890971,78.690807,2156.861603,-2078.170796,3.421339,93.776591,-90.355252,63.539388,2.762582,1736.461356,0,0,0,0,1,23,0,0,0,0,0,?,0.015,0,0.015625,0,4,134817,28797,'Number of leaves: 33\nSize of the tree: 55\n',55,33,33
audiology,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,16,7,0,69.565217,30.434783,0,0.65,0.027987,0.14574,38.630394,77.010399,81.275769,3234.807967,-3153.532198,3.533729,140.643825,-137.110096,49.09648,2.13463,1345.221189,0,0,0,0,1,22,1,1,0,0,0,0.5,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 50\n',50,30,30
audiology,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,17,6,0,73.913043,26.086957,0,0.685649,0.022005,0.114132,30.35975,60.278777,82.275769,2156.750469,-2074.4747,3.577207,93.77176,-90.194552,60.814072,2.64409,1667.998772,0,0,0,0,1,23,0,0,0,0,0,?,0.015,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 47\n',47,30,30
audiology,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,16,7,0,69.565217,30.434783,0,0.650759,0.02779,0.14402,37.957846,75.212337,87.838805,3236.73888,-3148.900075,3.819078,140.727777,-136.908699,58.025001,2.522826,1601.479349,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 47\n',47,30,30
audiology,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,16,6,0,72.727273,27.272727,0,0.678049,0.028703,0.138558,39.662434,73.303065,74.789471,2163.901984,-2089.112513,3.399521,98.359181,-94.95966,52.811934,2.400542,1442.374221,0,0,0,0,1,22,0,0,0,0,0,?,0.015,0,0.015625,0,4,135406,28208,'Number of leaves: 29\nSize of the tree: 49\n',49,29,29
audiology,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,17,5,0,77.272727,22.727273,0,0.736211,0.022528,0.119862,30.887884,62.86386,77.534255,2156.736593,-2079.202338,3.524284,98.033481,-94.509197,58.347593,2.652163,1598.879562,0,0,0,0,1,22,0,0,0,0,0,?,0.015,0,0.015625,0,4,135406,28208,'Number of leaves: 28\nSize of the tree: 47\n',47,28,28
audiology,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,16,6,0,72.727273,27.272727,0,0.678049,0.027952,0.137749,38.439569,72.483045,78.91848,3234.979217,-3156.060737,3.587204,147.04451,-143.457306,49.32847,2.242203,1353.942673,0,0,0,0,1,22,0,0,0,0,0,?,0.016,0,0.015625,0,4,135406,28208,'Number of leaves: 26\nSize of the tree: 43\n',43,26,26
